Stückliste exportiert aus /Users/espero/nfs_ds_nfs/git/HFT-Core-Module__HW_1V0/CAD/Eagle/HFT-Core-Module_1V0.sch am 10.08.18 23:08

Qty Value                                             Device                             Package                            Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Description                                                 
1                                                     HEADER-1X2                         1X02                               X0322                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Header 1X2 2.54mm                                           
1                                                     HEADER-2X3                         2X03                               X0301                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Header 2X3 2.54mm                                           
6                                                     SJ                                 SJ                                 SJ0121, SJ0401, SJ0421, SJ0422, SJ0423, SJ0424                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             SMD solder JUMPER                                           
18  0R                                                R-EU_R0603                         R0603                              R0201, R0202, R0211, R0212, R0221, R0222, R0231, R0232, R0441, R0612, R0613, R0811, R0845, R0874, R1404, R1405, R1406, R1409                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESISTOR, European symbol                                   
3   0R                                                R-US_R0603                         R0603                              L0856, L0858, L0995                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        RESISTOR, American symbol                                   
1   0nF                                               C-EUC0603                          C0603                              C1405                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
2   0nF HiQ                                           C-EUC0603                          C0603                              C0994, C0996                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               CAPACITOR, European symbol                                  
7   0pF                                               C-EUC0603                          C0603                              C0841, C0850, C0858, C0872, C_AX_C1, C_AX_C2, C_AX_M2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
1   1.0uH 33mR                                        L-EUL5650M                         L5650M                             L1604                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      INDUCTOR, European symbol                                   
1   1.1A/2.2A                                         R-EU_M1206                         M1206                              PF2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESISTOR, European symbol                                   
1   1.2pF                                             C-EUC0603                          C0603                              C0864                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
2   1.5pF                                             C-EUC0603                          C0603                              C0511, C0861                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               CAPACITOR, European symbol                                  
3   1.8kR                                             R-EU_R0603                         R0603                              R1201, R1205, R1208                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        RESISTOR, European symbol                                   
