"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"HEADER-1X2";"1X02";"X0222";"Header 1X2 2.54mm";"";
"1";"";"HEADER-2X2";"2X02";"X1961";"Header 2X2 2.54mm";"";
"1";"";"HEADER-2X5_1MM27CORTEX_10PIN_JTAG-SWD";"2X05_SHROUDED_1MM27";"X0201";"Header 2X5 1.27mm 0.05"";"";
"6";"";"SJ";"SJ";"SJ0121, SJ0401, SJ0421, SJ0422, SJ0423, SJ0424";"SMD solder JUMPER";"";
"1";"0.47uF";"C-EUC0402";"C0402";"C2411";"CAPACITOR, European symbol";"";
"1";"0.5pF";"C-EUC0402";"C0402";"C3383";"CAPACITOR, European symbol";"";
"1";"0R";"L-EUL0603";"L0603";"L2261";"INDUCTOR, European symbol";"";
"12";"0R";"R-EU_R0402";"R0402";"R0441, R0891, R0892, R1811, R1812, R2521, R2651, R2681, R3512, R3513, R3577, R3578";"RESISTOR, European symbol";"";
"3";"0R";"R-EU_R0603";"R0603";"R3371, R3381, R3391";"RESISTOR, European symbol";"";
"8";"0pF";"C-EUC0402";"C0402";"C2265, C2293, C3371, C3372, C3381, C3382, C3391, C3392";"CAPACITOR, European symbol";"";
"2";"1.0kR";"R-EU_R0402";"R0402";"R0611, R0612";"RESISTOR, European symbol";"";
"1";"1.1A/2.2A";"R-EU_M1206";"M1206";"PF3211";"RESISTOR, European symbol";"";
"1";"1.2nH";"L-EUL0603";"L0603";"L3384";"INDUCTOR, European symbol";"";
"2";"1.2pF";"C-EUC0402";"C0402";"C3385, C3389";"CAPACITOR, European symbol";"";
"4";"1.5kR";"R-EU_R0402";"R0402";"R1051, R1111, R1121, R1131";"RESISTOR, European symbol";"";
"1";"1.5pF";"C-EUC0402";"C0402";"C3388";"CAPACITOR, European symbol";"";
"2";"1.82MR";"R-EU_R0402";"R0402";"R2621, R2633";"RESISTOR, European symbol";"";
"2";"1.8pF";"C-EUC0402";"C0402";"C2291, C3386";"CAPACITOR, European symbol";"";
"1";"10.0MR";"R-EU_R0402";"R0402";"R2622";"RESISTOR, European symbol";"";
"4";"100R";"R-EU_R0402";"R0402";"R1712, R1722, R2801, R2802";"RESISTOR, European symbol";"";
"8";"100kR";"R-EU_R0402";"R0402";"R0521, R0621, R1521, R2331, R2332, R2612, R2701, R2711";"RESISTOR, European symbol";"";
