Stückliste exportiert aus /Users/espero/nfs_ds_nfs/git/HFT-Core-Module__HW_1V1/CAD/Eagle/HFT-Core-Module_1V1.sch am 20.10.18 21:47

Qty Value                                             Device                                Package                            Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Description                                                 
1                                                     HEADER-1X2                            1X02                               X0222                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Header 1X2 2.54mm                                           
1                                                     HEADER-2X5_1MM27CORTEX_10PIN_JTAG-SWD 2X05_SHROUDED_1MM27                X0201                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Header 2X5 1.27mm 0.05"                                     
6                                                     SJ                                    SJ                                 SJ0121, SJ0401, SJ0421, SJ0422, SJ0423, SJ0424                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   SMD solder JUMPER                                           
10  0R                                                R-EU_R0603                            R0603                              R0441, R0691, R0692, R1909, R2912, R2913, R2944, R2945, R2977, R2978                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             RESISTOR, European symbol                                   
1   0R                                                R-US_R0603                            R0603                              L1651                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            RESISTOR, American symbol                                   
2   1.0kR                                             R-EU_R0603                            R0603                              R3011, R3012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESISTOR, European symbol                                   
1   1.0uH 33mR                                        L-EUL3230M                            L3230M                             L2001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            INDUCTOR, European symbol                                   
1   1.1A/2.2A                                         R-EU_M1206                            M1206                              PF2611                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           RESISTOR, European symbol                                   
4   1.5kR                                             R-EU_R0603                            R0603                              R1151, R1211, R1221, R1231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESISTOR, European symbol                                   
4   100R                                              R-EU_R0603                            R0603                              R0912, R0922, R1501, R1521                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESISTOR, European symbol                                   
6   100kR                                             R-EU_R0603                            R0603                              R0231, R0232, R0721, R1731, R1732, R1912                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         RESISTOR, European symbol                                   
44  100nF                                             C-EUC0603                             C0603                              C0213, C0401, C0402, C0403, C0404, C0405, C0406, C0407, C0408, C0409, C0421, C0422, C0441, C0701, C0711, C0712, C0731, C0741, C0802, C0803, C0805, C0902, C0903, C0905, C1101, C1201, C1411, C1701, C1702, C1703, C1801, C1902, C2002, C2102, C2201, C2301, C2303, C2401, C2403, C2501, C2502, C2503, C2504, C2505                                                                                                                                                                                                                                                                                                                                                               CAPACITOR, European symbol                                  
2   100nH                                             R-US_R0603                            R0603                              L1712, L1713                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESISTOR, American symbol                                   
1   100pF                                             C-EUC0603                             C0603                              C0732                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAPACITOR, European symbol                                  
1   100pF HiQ                                         C-EUC0603                             C0603                              C1622                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAPACITOR, European symbol                                  
2   100uF                                             C-EUC0805                             C0805                              C1901, C2003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
6   10kR                                              R-EU_R0603                            R0603                              R0731, R0911, R0921, R1301, R1302, R1303                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         RESISTOR, European symbol                                   
5   10nF                                              C-EUC0603                             C0603                              C0412, C0815, C0816, C0912, C0922                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                CAPACITOR, European symbol                                  
4   10uF                                              C-EUC0603                             C0603                              C0901, C0904, C0911, C0921                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       CAPACITOR, European symbol                                  
2   10uF                                              C-EUC0805                             C0805                              C2101, C2103                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
3   10uH                                              R-EU_R0603                            R0603                              L0411, L0901, L1001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESISTOR, European symbol                                   
1   12pF                                              C-EUC0603                             C0603                              C1512                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAPACITOR, European symbol                                  
1   18pF                                              C-EUC0603                             C0603                              C0311                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAPACITOR, European symbol                                  
2   1F_EEC-S5R5H105N                                  CPOL-EUC115-080X160_POL               C115-080X160_POL                   C0451, C2001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     POLARIZED CAPACITOR, European symbol                        
1   1kR                                               R-EU_R0603                            R0603                              R1911                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            RESISTOR, European symbol                                   
7   1nF                                               C-EUC0603                             C0603                              C1301, C1302, C1303, C1611, C1612, C1641, C2603                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  CAPACITOR, European symbol                                  
3   1uF                                               C-EUC0603                             C0603                              C1011, C1012, C1501                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              CAPACITOR, European symbol                                  
5   1uF                                               C-EUC0805                             C0805                              C0413, C0442, C0722, C1111, C1112                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                CAPACITOR, European symbol                                  
4   2.0kR                                             R-EU_R0603                            R0603                              R1152, R1212, R1222, R1232                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESISTOR, European symbol                                   
2   2.2uF                                             C-EUC0603                             C0603                              C0906, C1003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
