Configuration	HFT-Core-Module_TrueSTUDIO
STM32CubeMX 	4.27.0
Date	11/03/2018
MCU	STM32L496ZGTxP



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN5 Single-ended	ADC1_IN5	PA0
ADC1	IN6 Single-ended	ADC1_IN6	PA1
ADC1	IN8 Single-ended	ADC1_IN8	PA3
ADC1	Temperature Sensor Channel	ADC1_TempSens_Input	VP_ADC1_TempSens_Input
ADC1	Vbat Channel	ADC1_Vbat_Input	VP_ADC1_Vbat_Input
ADC1	Vrefint Channel	ADC1_Vref_Input	VP_ADC1_Vref_Input
DFSDM1:Channel 0	Parallel input	DFSDM1_VS_IN0	VP_DFSDM1_VS_IN0
DFSDM1:Channel 1	Parallel input	DFSDM1_VS_IN1	VP_DFSDM1_VS_IN1
I2C1	I2C	I2C1_SCL	PG14
I2C1	I2C	I2C1_SDA	PG13
I2C2	I2C	I2C2_SCL	PF1
I2C2	I2C	I2C2_SDA	PF0
LPUART1	Asynchronous	LPUART1_RX	PG8
LPUART1	Asynchronous	LPUART1_TX	PA2
LPUART1	CTS/RTS	LPUART1_CTS	PA6
LPUART1	CTS/RTS	LPUART1_RTS	PB1
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK1_IO0	PE12
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK1_IO1	PE13
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK1_IO2	PE14
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK1_IO3	PE15
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK2_IO0	PC1
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK2_IO1	PC2
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK2_IO2	PC3
QUADSPI	Dual Bank with Quad Lines	QUADSPI_BK2_IO3	PD7
QUADSPI	Dual Bank with Quad Lines	QUADSPI_CLK	PF10
QUADSPI	Enable Chip Select 1 for both banks	QUADSPI_BK1_NCS	PE11
RCC	BYPASS Clock Source	RCC_OSC_IN	PH0-OSC_IN (PH0)
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14-OSC32_IN (PC14)
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15-OSC32_OUT (PC15)
RCC	Clock-out	RCC_MCO	PA8
RCC	CRS SYNC Source USB	RCC_USB	VP_RCC_USB
RTC	Activate RTC Clock Source	RTC_VS_RTC_Activate	VP_RTC_VS_RTC_Activate
RTC	RTC Enabled	RTC_VS_RTC_Calendar	VP_RTC_VS_RTC_Calendar
RTC	Internal Alarm A	RTC_VS_RTC_Alarm_A_Intern	VP_RTC_VS_RTC_Alarm_A_Intern
RTC	Internal Alarm B	RTC_VS_RTC_Alarm_B_Intern	VP_RTC_VS_RTC_Alarm_B_Intern
RTC	Internal WakeUp	RTC_VS_RTC_WakeUp_intern	VP_RTC_VS_RTC_WakeUp_intern
SAI1:SAI B	Master with Master Clock Out	SAI1_SD_B	PE3
SAI1:SAI B	Master with Master Clock Out	SAI1_SCK_B	PE8
SAI1:SAI B	Master with Master Clock Out	SAI1_FS_B	PE9
SAI1:SAI B	Master with Master Clock Out	SAI1_MCLK_B	PE10
SAI1:SAI B	Basic	SAI1_VP_$IpInstance_SAIB_SAI_BASIC	VP_SAI1_VP_$IpInstance_SAIB_SAI_BASIC
SAI2:SAI A	Asynchronous Slave	SAI2_SD_A	PD11
SAI2:SAI A	Asynchronous Slave	SAI2_SCK_A	PB13
SAI2:SAI A	Asynchronous Slave	SAI2_FS_A	PD12
SAI2:SAI A	Basic	SAI2_VP_$IpInstance_SAIA_SAI_BASIC	VP_SAI2_VP_$IpInstance_SAIA_SAI_BASIC
SPI2	Full-Duplex Master	SPI2_MISO	PD3
SPI2	Full-Duplex Master	SPI2_MOSI	PB15
SPI2	Full-Duplex Master	SPI2_SCK	PD1
SPI3	Full-Duplex Master	SPI3_MISO	PC11
SPI3	Full-Duplex Master	SPI3_MOSI	PC12
SPI3	Full-Duplex Master	SPI3_SCK	PC10
SYS	Serial Wire	SYS_JTCK-SWCLK	PA14 (JTCK/SWCLK)
SYS	Serial Wire	SYS_JTMS-SWDIO	PA13 (JTMS/SWDIO)
SYS	SYS_WakeUp1	SYS_WKUP2	PC13
SYS	Power Voltage Detector In (Internal analog voltage)	SYS_V_PVD_IN	VP_SYS_V_PVD_IN
SYS	Internal voltage reference	VREFBUF_OUT	VREF+
SYS	TIM2	SYS_VS_tim2	VP_SYS_VS_tim2
TIM3	Internal Clock	TIM3_VS_ClockSourceINT	VP_TIM3_VS_ClockSourceINT
TIM3	PWM Generation CH1	TIM3_CH1	PC6
TIM3	PWM Generation CH2	TIM3_CH2	PA7
TIM3	PWM Generation CH3	TIM3_CH3	PB0
TIM3	PWM Generation CH4	TIM3_CH4	PE6
TIM5	Internal Clock	TIM5_VS_ClockSourceINT	VP_TIM5_VS_ClockSourceINT
TIM5	Input Capture direct mode	TIM5_CH1	PF6
TIM5	Input Capture direct mode	TIM5_CH2	PF7
TIM5	Input Capture direct mode	TIM5_CH3	PF8
TIM5	Input Capture direct mode	TIM5_CH4	PF9
TIM16	Enable_Timer	TIM16_VS_ClockSourceINT	VP_TIM16_VS_ClockSourceINT
TIM16	Input Capture direct mode from Remap	TIM16_VS_NoInput1	VP_TIM16_VS_NoInput1
TIM17	Enable_Timer	TIM17_VS_ClockSourceINT	VP_TIM17_VS_ClockSourceINT
TIM17	Input Capture direct mode from Remap	TIM17_VS_NoInput1	VP_TIM17_VS_NoInput1
USART1	Asynchronous	USART1_RX	PG10
USART1	Asynchronous	USART1_TX	PG9
USART1	CTS/RTS	USART1_CTS	PG11
USART1	CTS/RTS	USART1_RTS	PG12
USB_OTG_FS	Device_Only	USB_OTG_FS_DM	PA11
USB_OTG_FS	Device_Only	USB_OTG_FS_DP	PA12
USB_OTG_FS	VBUS sensing	USB_OTG_FS_VBUS	PA9



Pin Nb	PINs	FUNCTIONs	LABELs
2	PE3	SAI1_SD_B	I2S1B_SD_OUT
5	PE6	TIM3_CH4	MCU_PWM_LCD_BL_OUT
7	PC13	SYS_WKUP2	MCU_WAKEUP_IN
8	PC14-OSC32_IN (PC14)	RCC_OSC32_IN	MCU_OSC32_IN
9	PC15-OSC32_OUT (PC15)	RCC_OSC32_OUT	MCU_OSC32_OUT
10	PF0	I2C2_SDA	MCU_I2C2_SDA
11	PF1	I2C2_SCL	MCU_I2C2_SCL
14	PF4	GPIO_EXTI4	MCU_EXTI4_PEXPB_IN
18	PF6	TIM5_CH1	MCU_TIMCAP_N_IN
19	PF7	TIM5_CH2	MCU_TIMCAP_VSOL_IN
20	PF8	TIM5_CH3	MCU_TIMCAP_S_IN
21	PF9	TIM5_CH4	MCU_TIMCAP_1PPS_IN
22	PF10	QUADSPI_CLK	
23	PH0-OSC_IN (PH0)	RCC_OSC_IN	MCU_HSE
26	PC0	GPIO_Input	MCU_RF_SYNC_IN
27	PC1	QUADSPI_BK2_IO0	
28	PC2	QUADSPI_BK2_IO1	
29	PC3	QUADSPI_BK2_IO2	
32	VREF+	VREFBUF_OUT	MCU_OUT_VREF+
34	PA0	ADC1_IN5	ADC1_IN5_VSOL
35	PA1	ADC1_IN6	ADC1_IN6_XO_PULL
36	PA2	LPUART1_TX	MCU_LPUART_TX_OUT
37	PA3	ADC1_IN8	ADC1_IN8_LIPO_CUR_IN
40	PA4	GPIO_Output	MCU_LIPO_CEN_OUT
42	PA6	LPUART1_CTS	MCU_LPUART_CTS_IN
43	PA7	TIM3_CH2	MCU_PWM_LED_G_OUT
45	PC5	GPIO_Output	MCU_BNO085_PS0_WAKE_OUT
46	PB0	TIM3_CH3	MCU_PWM_LED_B_OUT
47	PB1	LPUART1_RTS	MCU_LPUART_RTS_OUT
48	PB2	GPIO_Output	MCU_SW_PWR_OUT
49	PF11	GPIO_Output	MCU_BNO085_SEL_OUT
53	PF13	GPIO_EXTI13	MCU_EXTI13_BNO085_IN
54	PF14	GPIO_Output	MCU_AX_SEL_OUT
55	PF15	GPIO_Output	MCU_SX_SEL_OUT
58	PE7	GPIO_EXTI7	MCU_EXTI7_AX_IN
59	PE8	SAI1_SCK_B	I2S1B_SCK_OUT
60	PE9	SAI1_FS_B	I2S1B_FS_OUT
63	PE10	SAI1_MCLK_B	I2S1B_MCLK_OUT
64	PE11	QUADSPI_BK1_NCS	
65	PE12	QUADSPI_BK1_IO0	
66	PE13	QUADSPI_BK1_IO1	
67	PE14	QUADSPI_BK1_IO2	
68	PE15	QUADSPI_BK1_IO3	
74	PB13	SAI2_SCK_A	I2S2A_SCK_IN
76	PB15	SPI2_MOSI	MCU_SPI2_MOSI
77	PD8	GPIO_Input	MCU_SX_BUSY_IN
78	PD9	GPIO_Input	MCU_PS00_INOUT
79	PD10	GPIO_Input	MCU_PS01_INOUT
80	PD11	SAI2_SD_A	I2S2A_SD_IN
