"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","SAI1_SD_B","MCU_I2S1B_SD_OUT"
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","TIM3_CH4","MCU_PWM_LCD_BL"
"6","VBAT","Power","",""
"7","PC13","I/O","SYS_WKUP2","MCU_WAKEUP_IN"
"8","PC14-OSC32_IN (PC14)","I/O","RCC_OSC32_IN","MCU_OSC32_IN"
"9","PC15-OSC32_OUT (PC15)","I/O","RCC_OSC32_OUT","MCU_OSC32_OUT"
"10","PF0","I/O","I2C2_SDA","MCU_I2C2_SDA"
"11","PF1","I/O","I2C2_SCL","MCU_I2C2_SCL"
"12","PF2","I/O","",""
"13","PF3","I/O","",""
"14","PF4","I/O","GPIO_EXTI4","MCU_EXTI4_PEXPB"
"15","PF5","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","TIM5_CH1","MCU_TIMCAP_PN"
"19","PF7","I/O","TIM5_CH2","MCU_TIMCAP_VSOL"
"20","PF8","I/O","TIM5_CH3","MCU_TIMCAP_PS"
"21","PF9","I/O","TIM5_CH4","MCU_TIMCAP_1PPS"
"22","PF10","I/O","QUADSPI_CLK",""
"23","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN","MCU_HSE"
"24","PH1-OSC_OUT (PH1)","I/O","",""
"25","NRST","Reset","",""
"26","PC0","I/O","GPIO_EXTI0","MCU_EXTI10_RF_SYNC"
"27","PC1","I/O","QUADSPI_BK2_IO0",""
"28","PC2","I/O","QUADSPI_BK2_IO1",""
"29","PC3","I/O","QUADSPI_BK2_IO2",""
"30","VSSA","Power","",""
"31","VREF-","Power","",""
"32","VREF+","MonoIO","VREFBUF_OUT","MCU_VREF+_OUT"
"33","VDDA","Power","",""
"34","PA0","I/O","ADC1_IN5","MCU_ADC1_IN5_VSOL"
"35","PA1","I/O","ADC1_IN6","MCU_ADC1_IN6_XO_PULL"
"36","PA2","I/O","LPUART1_TX","MCU_LPUART_TX_OUT"
"37","PA3","I/O","ADC1_IN8","MCU_ADC1_IN8_LIPO_CUR"
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","Output","GPIO_Output","MCU_LIPO_CEN_OUT"
"41","PA5","I/O","",""
"42","PA6","I/O","LPUART1_CTS","MCU_LPUART_CTS_IN"
"43","PA7","I/O","TIM3_CH2","MCU_PWM_LED_G"
"44","PC4","I/O","",""
"45","PC5","Output","GPIO_Output","MCU_BNO085_PS0_WAKE_OUT"
"46","PB0","I/O","TIM3_CH3","MCU_PWM_LED_B"
"47","PB1","I/O","LPUART1_RTS","MCU_LPUART_RTS_OUT"
"48","PB2","Output","GPIO_Output","MCU_SW_PWR_OUT"
"49","PF11","Output","GPIO_Output","MCU_BNO085_SEL_OUT"
"50","PF12","I/O","",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","GPIO_EXTI13","MCU_EXTI13_BNO085"
"54","PF14","Output","GPIO_Output","MCU_AX_SEL_OUT"
"55","PF15","Output","GPIO_Output","MCU_SX_SEL_OUT"
"56","PG0","I/O","",""
"57","PG1","I/O","",""
"58","PE7","I/O","GPIO_EXTI7","MCU_EXTI7_AX"
"59","PE8","I/O","SAI1_SCK_B","MCU_I2S1B_SCK_OUT"
"60","PE9","I/O","SAI1_FS_B","MCU_I2S1B_FS_OUT"
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","SAI1_MCLK_B","MCU_I2S1B_MCLK_OUT"
"64","PE11","I/O","QUADSPI_BK1_NCS",""
"65","PE12","I/O","QUADSPI_BK1_IO0",""
"66","PE13","I/O","QUADSPI_BK1_IO1",""
"67","PE14","I/O","QUADSPI_BK1_IO2",""
"68","PE15","I/O","QUADSPI_BK1_IO3",""
"69","PB10","I/O","",""
"70","VDD12","Power","",""
"71","VSS","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","",""
"74","PB13","I/O","SAI2_SCK_A","MCU_I2S2A_SCK_IN"
"75","PB14","I/O","",""
"76","PB15","I/O","SPI2_MOSI","MCU_SPI2_MOSI"
"77","PD8","Input","GPIO_Input","MCU_SX_BUSY_IN"
"78","PD9","Input","GPIO_Input","MCU_PS00_INOUT"
"79","PD10","Input","GPIO_Input","MCU_PS01_INOUT"
"80","PD11","I/O","SAI2_SD_A","MCU_I2S2A_SD_IN"
"81","PD12","I/O","SAI2_FS_A","MCU_I2S2A_FS_IN"
"82","PD13","I/O","",""
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","Input","GPIO_Input","MCU_PS02_INOUT"
"86","PD15","Input","GPIO_Input","MCU_PS03_INOUT"
"87","PG2","I/O","GPIO_EXTI2","MCU_EXTI2_SX_DIO1_TXRXDONE"
"88","PG3","I/O","GPIO_EXTI3","MCU_EXTI3_SX_DIO3_TIMEOUT"
"89","PG4","I/O","EVENTOUT","MCU_EVENTOUT"
