"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","SAI1_SD_A",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN (PC14)","I/O","RCC_OSC32_IN",""
"9","PC15-OSC32_OUT (PC15)","I/O","RCC_OSC32_OUT",""
"10","PF0","I/O","I2C2_SDA",""
"11","PF1","I/O","I2C2_SCL",""
"12","PF2","I/O","",""
"13","PF3","I/O","",""
"14","PF4","I/O","ADC3_IN7",""
"15","PF5","I/O","ADC3_IN8",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","TIM5_CH1",""
"19","PF7","I/O","TIM5_CH2",""
"20","PF8","I/O","TIM5_CH3",""
"21","PF9","I/O","TIM5_CH4",""
"22","PF10","I/O","",""
"23","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN",""
"24","PH1-OSC_OUT (PH1)","I/O","",""
"25","NRST","Reset","",""
"26","PC0","I/O","ADC1_IN1",""
"27","PC1","I/O","ADC1_IN2",""
"28","PC2","I/O","ADC2_IN3",""
"29","PC3","I/O","ADC2_IN4",""
"30","VSSA","Power","",""
"31","VREF-","Power","",""
"32","VREF+","MonoIO","VREFBUF_OUT",""
"33","VDDA","Power","",""
"34","PA0","I/O","USART2_CTS",""
"35","PA1","I/O","OPAMP1_VINM",""
"36","PA2","I/O","USART2_TX",""
"37","PA3","I/O","OPAMP1_VOUT",""
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","I/O","DAC1_OUT1",""
"41","PA5","I/O","DAC1_OUT2",""
"42","PA6","I/O","USART3_CTS",""
"43","PA7","I/O","OPAMP2_VINM",""
"44","PC4","I/O","USART3_TX",""
"45","PC5","I/O","USART3_RX",""
"46","PB0","I/O","OPAMP2_VOUT",""
"47","PB1","I/O","USART3_RTS",""
"48","PB2","I/O","COMP1_INP",""
"49","PF11","I/O","ADC1_EXTI11 ADC3_EXTI11 ADC2_EXTI11",""
"50","PF12","I/O","",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","",""
"54","PF14","I/O","I2C4_SCL",""
"55","PF15","I/O","ADC1_EXTI15 ADC3_EXTI15 ADC2_EXTI15",""
"56","PG0","I/O","",""
"57","PG1","I/O","",""
"58","PE7","I/O","SAI1_SD_B",""
"59","PE8","I/O","SAI1_SCK_B",""
"60","PE9","I/O","SAI1_FS_B",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","SAI1_MCLK_B",""
"64","PE11","I/O","",""
"65","PE12","I/O","SPI1_NSS",""
"66","PE13","I/O","SPI1_SCK",""
"67","PE14","I/O","SPI1_MISO",""
"68","PE15","I/O","SPI1_MOSI",""
"69","PB10","I/O","SPI2_SCK",""
"70","VDD12","Power","",""
"71","VSS","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","SPI2_NSS",""
