Configuration	TrueSTUDIO
STM32CubeMX 	4.24.0
Date	03/07/2018
MCU	STM32L496ZGTxP



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN1 Differential	ADC1_IN1	PC0
ADC1	IN1 Differential	ADC1_IN2	PC1
ADC1	Temperature Sensor Channel	ADC1_TempSens_Input	VP_ADC1_TempSens_Input
ADC1	Vbat Channel	ADC1_Vbat_Input	VP_ADC1_Vbat_Input
ADC1	Vrefint Channel	ADC1_Vref_Input	VP_ADC1_Vref_Input
ADC1	Regular and Injected Conversion Trigger	ADC1_EXTI11	PF11
ADC1	Regular and Injected Conversion Trigger	ADC1_EXTI15	PF15
ADC2	IN3 Differential	ADC2_IN3	PC2
ADC2	IN3 Differential	ADC2_IN4	PC3
ADC2	Regular and Injected Conversion Trigger	ADC2_EXTI11	PF11
ADC2	Regular and Injected Conversion Trigger	ADC2_EXTI15	PF15
ADC3	IN7 Differential	ADC3_IN7	PF4
ADC3	IN7 Differential	ADC3_IN8	PF5
ADC3	Regular and Injected Conversion Trigger	ADC3_EXTI11	PF11
ADC3	Regular and Injected Conversion Trigger	ADC3_EXTI15	PF15
COMP1	INP	COMP1_INP	PB2
COMP1	3/4 Internal VRef	COMP1_VS_VREFINT34	VP_COMP1_VS_VREFINT34
COMP2	INP	COMP2_INP	PB4 (NJTRST)
COMP2	3/4 Internal VRef	COMP2_VS_VREFINT34	VP_COMP2_VS_VREFINT34
DAC1	Connected to external pin and to on chip-peripherals	DAC1_OUT1	PA4
DAC1	Connected to external pin and to on chip-peripherals	DAC1_OUT2	PA5
I2C1	I2C	I2C1_SCL	PG14
I2C1	I2C	I2C1_SDA	PG13
I2C2	I2C	I2C2_SCL	PF1
I2C2	I2C	I2C2_SDA	PF0
I2C3	I2C	I2C3_SCL	PG7
I2C3	I2C	I2C3_SDA	PG8
I2C4	I2C	I2C4_SCL	PF14
I2C4	I2C	I2C4_SDA	PD13
IRTIM	INFRARED	IR_OUT	PB9
OPAMP1	PGA Connected-DAC_OUT1-INP	OPAMP1_VINM	PA1
OPAMP1	PGA Connected-DAC_OUT1-INP	OPAMP1_VOUT	PA3
OPAMP2	PGA Connected-DAC_OUT2-INP	OPAMP2_VINM	PA7
OPAMP2	PGA Connected-DAC_OUT2-INP	OPAMP2_VOUT	PB0
RCC	BYPASS Clock Source	RCC_OSC_IN	PH0-OSC_IN (PH0)
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14-OSC32_IN (PC14)
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15-OSC32_OUT (PC15)
RCC	CRS SYNC Source USB	RCC_USB	VP_RCC_USB
RTC	Activate RTC Clock Source	RTC_VS_RTC_Activate	VP_RTC_VS_RTC_Activate
RTC	RTC Enabled	RTC_VS_RTC_Calendar	VP_RTC_VS_RTC_Calendar
RTC	Internal Alarm A	RTC_VS_RTC_Alarm_A_Intern	VP_RTC_VS_RTC_Alarm_A_Intern
RTC	Internal Alarm B	RTC_VS_RTC_Alarm_B_Intern	VP_RTC_VS_RTC_Alarm_B_Intern
RTC	Internal WakeUp	RTC_VS_RTC_WakeUp_intern	VP_RTC_VS_RTC_WakeUp_intern
SAI1:SAI A	SPDIF TX Transmitter (IEC60958)	SAI1_SD_A	PE6
SAI1:SAI B	Master with Master Clock Out	SAI1_SD_B	PE7
SAI1:SAI B	Master with Master Clock Out	SAI1_SCK_B	PE8
SAI1:SAI B	Master with Master Clock Out	SAI1_FS_B	PE9
SAI1:SAI B	Master with Master Clock Out	SAI1_MCLK_B	PE10
SAI1:SAI B	Basic	SAI1_VP_$IpInstance_SAIB_SAI_BASIC	VP_SAI1_VP_$IpInstance_SAIB_SAI_BASIC
SAI2:SAI A	Asynchronous Slave	SAI2_SD_A	PD11
SAI2:SAI A	Asynchronous Slave	SAI2_SCK_A	PB13
SAI2:SAI A	Asynchronous Slave	SAI2_FS_A	PD12
SAI2:SAI B	Asynchronous Slave	SAI2_SD_B	PG5
SAI2:SAI B	Asynchronous Slave	SAI2_SCK_B	PG2
SAI2:SAI B	Asynchronous Slave	SAI2_FS_B	PG3
SAI2:SAI B	Basic	SAI2_VP_$IpInstance_SAIB_SAI_BASIC	VP_SAI2_VP_$IpInstance_SAIB_SAI_BASIC
SPI1	Full-Duplex Master	SPI1_MISO	PE14
SPI1	Full-Duplex Master	SPI1_MOSI	PE15
SPI1	Full-Duplex Master	SPI1_SCK	PE13
SPI1	Hardware NSS Output Signal	SPI1_NSS	PE12
SPI2	Full-Duplex Master	SPI2_MISO	PB14
SPI2	Full-Duplex Master	SPI2_MOSI	PB15
SPI2	Full-Duplex Master	SPI2_SCK	PB10
SPI2	Hardware NSS Output Signal	SPI2_NSS	PB12
SPI3	Full-Duplex Master	SPI3_MISO	PC11
SPI3	Full-Duplex Master	SPI3_MOSI	PC12
SPI3	Full-Duplex Master	SPI3_SCK	PC10
SPI3	Hardware NSS Output Signal	SPI3_NSS	PA15 (JTDI)
SWPMI1	Full-Duplex (normal mode)	SWPMI1_IO	PA8
SYS	Trace Asynchronous Sw	SYS_JTMS-SWDIO	PA13 (JTMS/SWDIO)
SYS	Trace Asynchronous Sw	SYS_JTCK-SWCLK	PA14 (JTCK/SWCLK)
SYS	Trace Asynchronous Sw	SYS_JTDO-SWO	PB3 (JTDO/TRACESWO)
SYS	Power Voltage Detector In (Internal analog voltage)	SYS_V_PVD_IN	VP_SYS_V_PVD_IN
SYS	Internal voltage reference	VREFBUF_OUT	VREF+
SYS	TIM2	SYS_VS_tim2	VP_SYS_VS_tim2
TIM1	Internal Clock	TIM1_VS_ClockSourceINT	VP_TIM1_VS_ClockSourceINT
TIM5	Internal Clock	TIM5_VS_ClockSourceINT	VP_TIM5_VS_ClockSourceINT
TIM5	Input Capture direct mode	TIM5_CH1	PF6
TIM5	Input Capture direct mode	TIM5_CH2	PF7
TIM5	Input Capture direct mode	TIM5_CH3	PF8
TIM5	Input Capture direct mode	TIM5_CH4	PF9
TIM16	Enable_Timer	TIM16_VS_ClockSourceINT	VP_TIM16_VS_ClockSourceINT
TIM16	Output Compare CH1	TIM16_CH1	PB8
TIM17	Enable_Timer	TIM17_VS_ClockSourceINT	VP_TIM17_VS_ClockSourceINT
